klk_EN,year,month,day,Warehouse,hours,cargotype,traffic_stream
48,2022,7,1,6455,17_18,0,1
1,2022,7,1,6455,14_15,1,1
18,2022,7,1,6455,15_16,0,1
8,2022,7,1,6455,08_09,0,1
29,2022,7,1,6455,11_12,0,1
25,2022,7,1,6455,09_10,0,1
3,2022,7,2,6455,08_09,0,0
11,2022,7,2,6455,13_14,0,0
24,2022,7,2,6455,12_13,0,0
2,2022,7,2,6455,10_11,0,0
12,2022,7,2,6455,15_16,0,0
23,2022,7,2,6455,16_17,0,0
20,2022,7,2,6455,14_15,0,0
14,2022,7,2,6455,11_12,0,0
6,2022,7,2,6455,09_10,0,0
27,2022,7,2,6455,17_18,0,0
4,2022,7,2,6455,08_09,0,1
26,2022,7,2,6455,13_14,0,1
59,2022,7,2,6455,12_13,0,1
1,2022,7,2,6455,18_19,0,1
30,2022,7,2,6455,10_11,0,1
32,2022,7,2,6455,15_16,0,1
27,2022,7,2,6455,16_17,0,1
45,2022,7,2,6455,14_15,0,1
32,2022,7,2,6455,11_12,0,1
21,2022,7,2,6455,09_10,0,1
17,2022,7,2,6455,17_18,0,1
1,2022,7,3,6455,18_19,0,0
18,2022,7,3,6455,12_13,0,0
10,2022,7,3,6455,09_10,0,0
6,2022,7,3,6455,14_15,0,0
1,2022,7,3,6455,12_13,1,0
4,2022,7,3,6455,17_18,0,0
5,2022,7,3,6455,16_17,0,0
9,2022,7,3,6455,15_16,0,0
10,2022,7,3,6455,10_11,0,0
11,2022,7,3,6455,13_14,0,0
12,2022,7,3,6455,11_12,0,0
1,2022,7,3,6455,10_11,1,0
1,2022,7,3,6455,18_19,0,1
45,2022,7,3,6455,12_13,0,1
