klk_EN,year,month,day,iWarehouseSenderID,hours,cargotype,traffic_stream
62,2017,3,1,1545,11_12,0,1
63,2017,3,1,1545,13_14,0,1
67,2017,3,1,1545,15_16,0,1
79,2017,3,1,1545,14_15,0,1
80,2017,3,1,1545,16_17,0,1
117,2017,3,1,1545,16_17,0,0
165,2017,3,1,1545,18_19,0,0
211,2017,3,1,1545,17_18,0,0
249,2017,3,1,1545,19_20,0,0
1,2018,3,1,1545,15_16,1,0
1,2018,3,1,1545,16_17,1,0
1,2018,3,1,1545,18_19,1,0
13,2018,3,1,1545,08_09,0,1
14,2018,3,1,1545,10_11,0,0
14,2018,3,1,1545,21_22,0,0
15,2018,3,1,1545,11_12,0,0
17,2018,3,1,1545,9_10 ,0,0
18,2018,3,1,1545,9_10 ,0,1
23,2018,3,1,1545,08_09,0,0
23,2018,3,1,1545,20_21,0,1
34,2018,3,1,1545,13_14,0,1
35,2018,3,1,1545,11_12,0,1
41,2018,3,1,1545,14_15,0,1
41,2018,3,1,1545,15_16,0,1
43,2018,3,1,1545,13_14,0,0
45,2018,3,1,1545,20_21,0,0
52,2018,3,1,1545,19_20,0,1
54,2018,3,1,1545,12_13,0,0
63,2018,3,1,1545,10_11,0,1
66,2018,3,1,1545,15_16,0,0
69,2018,3,1,1545,16_17,0,1
69,2018,3,1,1545,18_19,0,1
71,2018,3,1,1545,12_13,0,1
75,2018,3,1,1545,17_18,0,1
126,2018,3,1,1545,16_17,0,0
188,2018,3,1,1545,14_15,0,0
191,2018,3,1,1545,17_18,0,0
210,2018,3,1,1545,19_20,0,0
394,2018,3,1,1545,18_19,0,0
530,2019,3,1,1545,18_19,0,0
455,2019,3,1,1545,19_20,0,0
23,2019,3,1,1545,08_09,0,0
33,2019,3,1,1545,13_14,0,0
98,2019,3,1,1545,18_19,0,1
113,2019,3,1,1545,19_20,0,1
27,2019,3,1,1545,08_09,0,1
106,2019,3,1,1545,13_14,0,1
1,2019,3,1,1545,07_08,0,0
15,2019,3,1,1545,10_11,0,0
